Type;SKU;Name;Published;Visibility in catalog;In stock?;Backorders allowed?;Price;Stock;Categories;Attribute 1 Name;Attribute 1 Value(s);Attribute 2 Name;Attribute 2 Value(s);Attribute 3 Name;Attribute 3 Value(s);Attribute 4 Name;Attribute 4 Value(s);Attribute 5 Name;Attribute 5 Value(s)
SIMPLE;7669-13;LAMPARA PARA TECHO;0;visible;1;notify;38;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;605-90108760;LAMPARA PARA TECHO ;0;visible;1;notify;60;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;8171-5+1;LAMPARA PARA TECHO  5 BOMBILLOS;0;visible;1;notify;98;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;3214RAB-5H;LAMPARA PARA TECHO  5 BOMBILLOS;0;visible;1;notify;60;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;5413/571;LAMPARA PARA TECHO  5 BOMBILLOS;0;visible;1;notify;98;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7573-9;LAMPARA PARA TECHO  9 BOMBILLOS ;0;visible;1;notify;350;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7574-9;LAMPARA PARA TECHO  9 BOMBILLOS ;0;visible;1;notify;370;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;6025;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;32;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7011;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;19;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7209;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;22;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;4472-1H;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;29;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7162WH;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;28;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
SIMPLE;7199-H;LAMPARA PARA TECHO 1 BOMBILLO;0;visible;1;notify;32;1;MultiHogar;Estado del producto;Nuevo;Color;Negro;Material;Plástico;Referencia;1;tamaño;1x1
